"","city","year","month","sales","volume","mean_price","median_price","listings","months_inventory","ads_efficiency"
"1","Beaumont",2010,1,83,14.162,170627,163800,1533,9.5,0.05
"2","Beaumont",2010,2,108,17.69,163796,138200,1586,10,0.07
"3","Beaumont",2010,3,182,28.701,157698,122400,1689,10.6,0.11
"4","Beaumont",2010,4,200,26.819,134095,123200,1708,10.6,0.12
"5","Beaumont",2010,5,202,28.833,142738,123100,1771,10.9,0.11
"6","Beaumont",2010,6,189,27.219,144016,122800,1803,11.1,0.1
"7","Beaumont",2010,7,164,22.706,138451,124300,1857,11.7,0.09
"8","Beaumont",2010,8,174,25.237,145040,136800,1830,11.6,0.1
"9","Beaumont",2010,9,124,17.233,138976,121100,1829,11.7,0.07
"10","Beaumont",2010,10,150,23.904,159360,138500,1779,11.5,0.08
"11","Beaumont",2010,11,150,18.107,120713,150700,1742,11.2,0.09
"12","Beaumont",2010,12,148,21.235,143480,132500,1646,10.5,0.09
"13","Beaumont",2011,1,108,16.2,150000,130700,1677,10.6,0.06
"14","Beaumont",2011,2,108,16.187,149880,116700,1691,10.7,0.06
"15","Beaumont",2011,3,146,22.183,151938,120000,1762,11.3,0.08
"16","Beaumont",2011,4,166,24.087,145102,130000,1767,11.6,0.09
"17","Beaumont",2011,5,143,19.684,137650,120700,1832,12.4,0.08
"18","Beaumont",2011,6,177,25.86,146102,131200,1845,12.6,0.1
"19","Beaumont",2011,7,163,28.48,174724,132800,1822,12.4,0.09
"20","Beaumont",2011,8,160,24.921,155756,144600,1789,12.3,0.09
"21","Beaumont",2011,9,127,16.908,133134,123800,1785,12.3,0.07
"22","Beaumont",2011,10,155,22.564,145574,132100,1722,11.8,0.09
"23","Beaumont",2011,11,124,15.489,124911,111100,1687,11.7,0.07
"24","Beaumont",2011,12,151,20.58,136291,114000,1596,11.1,0.09
"25","Beaumont",2012,1,110,13.496,122691,110000,1647,11.4,0.07
"26","Beaumont",2012,2,135,17.212,127496,117500,1666,11.4,0.08
"27","Beaumont",2012,3,175,25.359,144909,129600,1730,11.6,0.1
"28","Beaumont",2012,4,176,24.956,141795,126200,1735,11.6,0.1
"29","Beaumont",2012,5,197,30.159,153091,134100,1765,11.4,0.11
"30","Beaumont",2012,6,173,25.281,146133,130800,1724,11.2,0.1
"31","Beaumont",2012,7,182,25.981,142753,127000,1749,11.3,0.1
"32","Beaumont",2012,8,218,31.146,142872,133600,1683,10.5,0.13
"33","Beaumont",2012,9,182,24.052,132154,118800,1704,10.3,0.11
"34","Beaumont",2012,10,193,27.35,141710,121800,1671,9.9,0.12
"35","Beaumont",2012,11,162,22.906,141395,134300,1652,9.7,0.1
"36","Beaumont",2012,12,160,25.714,160712,134700,1570,9.1,0.1
"37","Beaumont",2013,1,159,23.029,144836,126100,1581,9,0.1
"38","Beaumont",2013,2,140,20.342,145300,130000,1620,9.2,0.09
"39","Beaumont",2013,3,170,25.551,150300,121200,1567,8.9,0.11
"40","Beaumont",2013,4,198,29.433,148652,131400,1696,9.5,0.12
"41","Beaumont",2013,5,246,37.28,151545,134200,1659,9.1,0.15
"42","Beaumont",2013,6,232,36.275,156358,134100,1675,9,0.14
"43","Beaumont",2013,7,206,30.818,149602,128200,1708,9,0.12
"44","Beaumont",2013,8,273,42.028,153949,135000,1675,8.7,0.16
"45","Beaumont",2013,9,213,34.359,161310,147000,1681,8.6,0.13
"46","Beaumont",2013,10,188,25.686,136628,121100,1655,8.5,0.11
"47","Beaumont",2013,11,177,26.371,148989,140500,1624,8.3,0.11
"48","Beaumont",2013,12,212,32.538,153481,140000,1534,7.6,0.14
"49","Beaumont",2014,1,148,18.077,122142,106700,1575,7.9,0.09
"50","Beaumont",2014,2,186,27.164,146043,132500,1636,8,0.11
"51","Beaumont",2014,3,182,26.344,144747,129100,1539,7.5,0.12
"52","Beaumont",2014,4,208,30.181,145101,138300,1604,7.8,0.13
"53","Beaumont",2014,5,246,36.739,149346,134500,1620,7.9,0.15
"54","Beaumont",2014,6,254,38.189,150350,134500,1672,8,0.15
"55","Beaumont",2014,7,212,34.861,164439,142200,1657,8,0.13
"56","Beaumont",2014,8,262,41.191,157218,142400,1617,7.8,0.16
"57","Beaumont",2014,9,224,35.335,157746,128100,1501,7.2,0.15
"58","Beaumont",2014,10,260,40.923,157396,140600,1575,7.4,0.17
"59","Beaumont",2014,11,180,24.925,138472,124300,1544,7.2,0.12
"60","Beaumont",2014,12,202,31.656,156713,133800,1500,7,0.13
"61","Bryan-College Station",2010,1,89,15.151,170236,151900,1298,7.1,0.07
"62","Bryan-College Station",2010,2,107,19.686,183981,165300,1439,7.8,0.07
"63","Bryan-College Station",2010,3,176,29.117,165438,148300,1577,8.5,0.11
"64","Bryan-College Station",2010,4,233,38.691,166056,151000,1984,10.5,0.12
"65","Bryan-College Station",2010,5,282,45.53,161454,150200,1613,8.4,0.17
"66","Bryan-College Station",2010,6,286,47.453,165920,151700,1588,8.4,0.18
"67","Bryan-College Station",2010,7,189,30.773,162820,152200,1646,9.1,0.11
"68","Bryan-College Station",2010,8,196,34.057,173760,148500,1599,9.1,0.12
"69","Bryan-College Station",2010,9,122,22.983,188385,149300,1549,8.8,0.08
"70","Bryan-College Station",2010,10,100,17.568,175680,161400,1530,8.9,0.07
"71","Bryan-College Station",2010,11,101,20.301,201000,159300,1510,9,0.07
"72","Bryan-College Station",2010,12,130,23.464,180492,153300,1416,8.4,0.09
"73","Bryan-College Station",2011,1,94,15.242,162149,147700,1480,8.8,0.06
"74","Bryan-College Station",2011,2,101,16.125,159653,148500,1562,9.3,0.06
"75","Bryan-College Station",2011,3,162,26.891,165994,152100,1723,10.4,0.09
"76","Bryan-College Station",2011,4,186,31.684,170344,151200,1833,11.3,0.1
"77","Bryan-College Station",2011,5,238,40.306,169353,148900,1840,11.6,0.13
"78","Bryan-College Station",2011,6,284,47.776,168225,149400,1758,11.1,0.16
"79","Bryan-College Station",2011,7,244,42.941,175988,148700,1662,10.2,0.15
"80","Bryan-College Station",2011,8,196,31.667,161566,146700,1581,9.7,0.12
"81","Bryan-College Station",2011,9,131,23.916,182565,156400,1536,9.4,0.09
"82","Bryan-College Station",2011,10,114,21.534,188895,157300,1492,9,0.08
"83","Bryan-College Station",2011,11,124,24.228,195387,156200,1445,8.7,0.09
"84","Bryan-College Station",2011,12,135,24.86,184148,153900,1362,8.1,0.1
"85","Bryan-College Station",2012,1,115,20.635,179435,140700,1486,8.8,0.08
"86","Bryan-College Station",2012,2,124,19.789,159589,152000,1634,9.6,0.08
"87","Bryan-College Station",2012,3,149,26.644,178819,154300,1806,10.6,0.08
"88","Bryan-College Station",2012,4,193,35.335,183083,156600,1834,10.8,0.11
"89","Bryan-College Station",2012,5,294,51.716,175905,153100,1793,10.2,0.16
"90","Bryan-College Station",2012,6,293,50.348,171836,149300,1734,9.9,0.17
"91","Bryan-College Station",2012,7,292,52.928,181260,154400,1669,9.3,0.17
"92","Bryan-College Station",2012,8,296,55.448,187324,159700,1518,8.1,0.19
"93","Bryan-College Station",2012,9,149,28.434,190832,170000,1498,7.9,0.1
"94","Bryan-College Station",2012,10,163,31.263,191798,155200,1458,7.5,0.11
"95","Bryan-College Station",2012,11,159,28.882,181648,149100,1442,7.3,0.11
"96","Bryan-College Station",2012,12,134,22.887,170799,148400,1442,7.3,0.09
"97","Bryan-College Station",2013,1,141,26.961,191213,155500,1486,7.5,0.09
"98","Bryan-College Station",2013,2,125,18.977,151816,146900,1599,8,0.08
"99","Bryan-College Station",2013,3,187,33.859,181064,161000,1750,8.7,0.11
"100","Bryan-College Station",2013,4,267,51.056,191221,158200,1680,8.1,0.16
"101","Bryan-College Station",2013,5,341,68.161,199886,161200,1581,7.4,0.22
"102","Bryan-College Station",2013,6,357,69.643,195078,163700,1462,6.7,0.24
"103","Bryan-College Station",2013,7,402,76.116,189343,161000,1385,6.1,0.29
"104","Bryan-College Station",2013,8,328,63.759,194387,166100,1385,6,0.24
"105","Bryan-College Station",2013,9,186,35.22,189355,156500,1201,5.2,0.15
"106","Bryan-College Station",2013,10,164,32.814,200085,167300,1155,5,0.14
"107","Bryan-College Station",2013,11,166,29.754,179241,156500,1132,4.9,0.15
"108","Bryan-College Station",2013,12,190,35.169,185100,158800,1057,4.4,0.18
"109","Bryan-College Station",2014,1,152,29.457,193796,155300,1199,5,0.13
"110","Bryan-College Station",2014,2,171,33.326,194889,168500,1218,5,0.14
"111","Bryan-College Station",2014,3,275,50.404,183287,155300,1261,5,0.22
"112","Bryan-College Station",2014,4,303,60.581,199937,169500,1271,5,0.24
"113","Bryan-College Station",2014,5,353,71.456,202425,165200,1212,4.8,0.29
"114","Bryan-College Station",2014,6,377,77.983,206851,169600,1152,4.5,0.33
"115","Bryan-College Station",2014,7,403,83.547,207313,172600,1041,4.1,0.39
"116","Bryan-College Station",2014,8,298,60.639,203487,172200,1016,4,0.29
"117","Bryan-College Station",2014,9,204,42.42,207941,180000,1022,4,0.2
"118","Bryan-College Station",2014,10,218,46.485,213234,176100,1031,4,0.21
"119","Bryan-College Station",2014,11,169,34.903,206527,172800,973,3.8,0.17
"120","Bryan-College Station",2014,12,200,42.553,212765,177300,882,3.4,0.23
"121","Tyler",2010,1,160,25.487,159294,138900,2727,11.3,0.06
"122","Tyler",2010,2,181,30.139,166514,131500,2763,11.5,0.07
"123","Tyler",2010,3,250,35.866,143464,130000,2729,11.3,0.09
"124","Tyler",2010,4,316,49.914,157956,133200,3014,12,0.1
"125","Tyler",2010,5,282,48.445,171791,142000,3175,12.4,0.09
"126","Tyler",2010,6,262,44.327,169187,139400,3294,13,0.08
"127","Tyler",2010,7,255,40.93,160510,135700,3272,13.3,0.08
"128","Tyler",2010,8,238,39.737,166962,143100,3267,13.4,0.07
"129","Tyler",2010,9,220,32.135,146068,132900,3296,13.8,0.07
"130","Tyler",2010,10,202,32.087,158847,136000,3156,13.5,0.06
"131","Tyler",2010,11,155,24.411,157490,130000,3042,13.4,0.05
"132","Tyler",2010,12,209,32.681,156368,129400,2878,12.7,0.07
"133","Tyler",2011,1,143,21.05,147203,120600,2852,12.6,0.05
"134","Tyler",2011,2,181,28.32,156464,128800,2938,13,0.06
"135","Tyler",2011,3,241,39.049,162029,134200,3101,13.8,0.08
"136","Tyler",2011,4,253,40.493,160051,135100,3196,14.5,0.08
"137","Tyler",2011,5,271,46.763,172557,136100,3266,14.9,0.08
"138","Tyler",2011,6,313,52.319,167153,145800,3256,14.6,0.1
"139","Tyler",2011,7,278,45.84,164892,139200,3263,14.5,0.09
"140","Tyler",2011,8,295,49.352,167295,144900,3218,14,0.09
"141","Tyler",2011,9,258,40.883,158461,133300,3094,13.3,0.08
"142","Tyler",2011,10,227,34.669,152727,133200,3056,13,0.07
"143","Tyler",2011,11,208,35.395,170168,152600,2876,12,0.07
"144","Tyler",2011,12,198,28.507,143975,130800,2720,11.4,0.07
"145","Tyler",2012,1,169,25.386,150213,124200,2811,11.7,0.06
"146","Tyler",2012,2,225,34.806,154693,134400,2857,11.7,0.08
"147","Tyler",2012,3,271,44.022,162443,135700,2868,11.6,0.09
"148","Tyler",2012,4,253,37.961,150043,129200,2940,11.9,0.09
"149","Tyler",2012,5,289,53.2,184083,137600,2981,12,0.1
"150","Tyler",2012,6,302,55.913,185142,148100,3041,12.3,0.1
"151","Tyler",2012,7,322,57.388,178224,152100,3072,12.2,0.1
"152","Tyler",2012,8,317,53.674,169319,144600,3042,12,0.1
"153","Tyler",2012,9,281,48.481,172530,144000,2953,11.6,0.1
"154","Tyler",2012,10,289,46.696,161578,136300,2897,11.1,0.1
"155","Tyler",2012,11,210,33.633,160157,144800,2830,10.9,0.07
"156","Tyler",2012,12,234,36.965,157970,140000,2633,10,0.09
"157","Tyler",2013,1,197,32.083,162858,132400,2658,10,0.07
"158","Tyler",2013,2,227,38.707,170515,144100,2666,10,0.09
"159","Tyler",2013,3,298,49.377,165695,144800,2788,10.4,0.11
"160","Tyler",2013,4,289,51.608,178574,142400,2920,10.8,0.1
"161","Tyler",2013,5,326,59.974,183969,147400,2946,10.7,0.11
"162","Tyler",2013,6,335,62.85,187612,155600,2986,10.8,0.11
"163","Tyler",2013,7,369,63.046,170856,153100,2998,10.7,0.12
"164","Tyler",2013,8,357,61.164,171328,147900,2953,10.4,0.12
"165","Tyler",2013,9,287,51.099,178045,147600,2917,10.2,0.1
"166","Tyler",2013,10,272,51.619,189776,155600,2852,10.1,0.1
"167","Tyler",2013,11,253,42.584,168316,139600,2701,9.4,0.09
"168","Tyler",2013,12,239,39.788,166477,142700,2500,8.7,0.1
"169","Tyler",2014,1,238,36.916,155109,130700,2609,9,0.09
"170","Tyler",2014,2,244,42.553,174398,150000,2625,9,0.09
"171","Tyler",2014,3,282,48.948,173574,143600,2737,9.4,0.1
"172","Tyler",2014,4,323,54.325,168189,145000,2778,9.5,0.12
"173","Tyler",2014,5,388,70.289,181157,152300,2744,9.2,0.14
"174","Tyler",2014,6,423,80.814,191050,155700,2855,9.3,0.15
"175","Tyler",2014,7,371,66.725,179852,151500,2875,9.4,0.13
"176","Tyler",2014,8,347,67.244,193787,155200,2791,9.1,0.12
"177","Tyler",2014,9,361,68.744,190427,156500,2696,8.6,0.13
"178","Tyler",2014,10,369,65.316,177008,144100,2602,8.1,0.14
"179","Tyler",2014,11,300,52.314,174380,159400,2460,7.6,0.12
"180","Tyler",2014,12,332,61.032,183831,161600,2272,6.9,0.15
"181","Wichita Falls",2010,1,89,8.951,100573,87200,908,7.1,0.1
"182","Wichita Falls",2010,2,91,9.382,103099,89400,915,7.3,0.1
"183","Wichita Falls",2010,3,147,18.192,123755,88600,946,7.5,0.16
"184","Wichita Falls",2010,4,167,19.772,118395,105800,904,7,0.18
"185","Wichita Falls",2010,5,165,20.881,126552,105200,914,7.1,0.18
"186","Wichita Falls",2010,6,129,19.192,148775,119200,972,7.7,0.13
"187","Wichita Falls",2010,7,104,12.355,118798,96700,993,8.1,0.1
"188","Wichita Falls",2010,8,130,15.325,117885,96000,1022,8.4,0.13
"189","Wichita Falls",2010,9,132,16.475,124811,1e+05,1028,8.3,0.13
"190","Wichita Falls",2010,10,113,13.605,120398,100700,1005,8.1,0.11
"191","Wichita Falls",2010,11,97,10.844,111794,86400,968,8,0.1
"192","Wichita Falls",2010,12,117,14.69,125556,112100,938,7.6,0.12
"193","Wichita Falls",2011,1,80,8.166,102075,90000,955,7.8,0.08
"194","Wichita Falls",2011,2,79,8.747,110722,90800,950,7.8,0.08
"195","Wichita Falls",2011,3,119,13.443,112966,100700,968,8.1,0.12
"196","Wichita Falls",2011,4,111,14.003,126153,113600,996,8.7,0.11
"197","Wichita Falls",2011,5,128,15.283,119398,109400,1052,9.4,0.12
"198","Wichita Falls",2011,6,111,13.031,117396,95000,1030,9.4,0.11
"199","Wichita Falls",2011,7,127,13.594,107039,102300,1029,9.2,0.12
"200","Wichita Falls",2011,8,135,14.876,110193,105200,1004,8.9,0.13
"201","Wichita Falls",2011,9,113,13.396,118549,102900,1005,9.1,0.11
"202","Wichita Falls",2011,10,98,9.507,97010,73800,963,8.8,0.1
"203","Wichita Falls",2011,11,93,11.176,120172,91700,902,8.3,0.1
"204","Wichita Falls",2011,12,81,9.4,116049,102300,844,7.9,0.1
"205","Wichita Falls",2012,1,105,10.274,97848,82100,859,7.9,0.12
"206","Wichita Falls",2012,2,90,10.697,118856,105000,861,7.9,0.1
"207","Wichita Falls",2012,3,116,13.104,112966,97500,887,8.1,0.13
"208","Wichita Falls",2012,4,125,13.876,111008,93000,907,8.2,0.14
"209","Wichita Falls",2012,5,102,12.451,122069,97500,914,8.5,0.11
"210","Wichita Falls",2012,6,130,17.793,136869,116500,934,8.5,0.14
"211","Wichita Falls",2012,7,132,16.166,122470,116000,941,8.6,0.14
"212","Wichita Falls",2012,8,123,14.003,113846,102300,933,8.6,0.13
"213","Wichita Falls",2012,9,95,11.792,124126,108300,931,8.7,0.1
"214","Wichita Falls",2012,10,97,9.695,99948,87000,907,8.4,0.11
"215","Wichita Falls",2012,11,119,17.126,143916,118800,877,8,0.14
"216","Wichita Falls",2012,12,115,11.82,102783,87500,801,7.1,0.14
"217","Wichita Falls",2013,1,79,9.666,122354,99300,854,7.7,0.09
"218","Wichita Falls",2013,2,101,11.92,118020,101400,850,7.6,0.12
"219","Wichita Falls",2013,3,159,16.715,105126,85900,868,7.6,0.18
"220","Wichita Falls",2013,4,124,13.524,109065,92200,895,7.8,0.14
"221","Wichita Falls",2013,5,144,19.059,132354,121300,900,7.6,0.16
"222","Wichita Falls",2013,6,121,15.547,128488,104700,923,7.9,0.13
"223","Wichita Falls",2013,7,150,18.571,123807,102500,844,7.1,0.18
"224","Wichita Falls",2013,8,149,18.686,125409,109100,830,6.9,0.18
"225","Wichita Falls",2013,9,128,16.103,125805,114300,812,6.6,0.16
"226","Wichita Falls",2013,10,114,14.47,126930,118200,796,6.4,0.14
"227","Wichita Falls",2013,11,94,11.486,122191,1e+05,777,6.3,0.12
"228","Wichita Falls",2013,12,92,12.47,135543,111100,743,6.1,0.12
"229","Wichita Falls",2014,1,89,9.626,108157,91200,746,6.1,0.12
"230","Wichita Falls",2014,2,93,11.261,121086,110000,774,6.4,0.12
"231","Wichita Falls",2014,3,102,13.925,136520,94000,838,7.2,0.12
"232","Wichita Falls",2014,4,143,17.79,124406,104700,852,7.2,0.17
"233","Wichita Falls",2014,5,140,17.833,127379,115700,899,7.6,0.16
"234","Wichita Falls",2014,6,123,18.25,148374,135300,961,8.1,0.13
"235","Wichita Falls",2014,7,150,18.672,124480,102500,941,8,0.16
"236","Wichita Falls",2014,8,137,16.129,117730,99600,973,8.3,0.14
"237","Wichita Falls",2014,9,110,12.015,109227,90000,940,8.1,0.12
"238","Wichita Falls",2014,10,112,13.817,123366,113300,905,7.8,0.12
"239","Wichita Falls",2014,11,96,11.308,117792,108000,870,7.5,0.11
"240","Wichita Falls",2014,12,109,13.884,127376,103800,821,7,0.13
